160.1930,pin-state,pin,20,state,0,count,8
160.2261,pin-state,pin,20,state,1,count,9
160.2599,pin-state,pin,20,state,0,count,9
160.2599,pin-state,pin,20,state,1,count,10
160.3261,pin-state,pin,20,state,0,count,10
160.3262,pin-state,pin,20,state,1,count,11
160.3594,pin-state,pin,20,state,0,count,11
160.3595,pin-state,pin,20,state,1,count,12
160.4268,pin-state,pin,20,state,0,count,12
160.4268,pin-state,pin,20,state,1,count,13
160.4592,pin-state,pin,20,state,0,count,13
160.4593,pin-state,pin,20,state,1,count,14
160.5265,pin-state,pin,20,state,0,count,14
160.5268,pin-state,pin,20,state,1,count,15
160.5595,pin-state,pin,20,state,0,count,15
160.5595,pin-state,pin,20,state,1,count,16
160.6261,pin-state,pin,20,state,0,count,16
160.6262,pin-state,pin,20,state,1,count,17
